date,close,high,low,open,volume
2023-04-10,3812.635498046875,3822.397915788317,3783.066358963542,3787.7128921272524,218632
2023-04-11,3921.337158203125,3927.1100890078433,3821.036897099489,3829.9075931160924,685931
2023-04-12,4023.2802734375,4043.321670249529,3914.8600980800497,3921.3370558467914,992142
2023-04-13,4025.486083984375,4042.007344277634,3998.920520790118,4008.260796619111,371608
2023-04-17,3993.570068359375,4046.7474865742315,3962.3109923042894,4046.7474865742315,718984
2023-04-18,3951.234619140625,4004.5999630762194,3919.130801192031,3993.4762436251126,235015
2023-04-19,4004.31787109375,4033.5116172936623,3923.8241130254564,3927.6261340439087,406755
2023-04-20,4049.892333984375,4065.0522918496586,3991.4108771744172,4003.5672612259077,409146
2023-04-21,4044.213134765625,4071.1540887648953,4020.510888802675,4058.0122494191014,237639
2023-04-24,4066.5546875,4088.004139183752,4020.1828586157358,4044.2132847728776,279716
2023-04-25,4076.36376953125,4106.82485954415,4051.535354819571,4073.970260667797,367525
2023-04-26,4035.483154296875,4095.2314931386627,4018.586504662694,4078.663481139782,964051
2023-04-27,4137.98974609375,4151.4597642016715,4030.78970610747,4036.4219227438566,667011
2023-04-28,4160.28369140625,4167.558637465549,4120.95168086942,4127.804485716482,457064
2023-05-02,4222.28515625,4230.264129977907,4152.867901476821,4167.793642542742,522701
2023-05-03,4175.20947265625,4214.728953455918,4163.147049624681,4209.612839693773,351550
2023-05-04,4184.45556640625,4196.0014272616845,4165.258911211837,4174.223339421863,191019
2023-05-05,4189.5244140625,4228.198693079968,4156.012541916262,4189.5244140625,180033
2023-05-08,4270.3935546875,4278.607203883194,4191.49577061095,4200.694874369745,365732
2023-05-09,4251.24462890625,4296.443080898989,4242.608379071575,4292.547555617973,329083
2023-05-10,4276.68310546875,4295.973264219418,4251.713519899674,4275.791154489118,229527
2023-05-11,4269.12646484375,4312.400756530503,4257.1112520841025,4312.400756530503,293197
2023-05-12,4260.67822265625,4345.114726332779,4240.120722160121,4266.404401642185,620213
2023-05-15,4284.75537109375,4326.011539496703,4263.634559628267,4288.932781590634,534604
2023-05-16,4260.162109375,4313.339533388469,4252.323849020624,4302.544450769543,321308
2023-05-17,4251.71337890625,4318.032636313351,4232.610686334108,4271.097498962119,346510
2023-05-18,4241.66943359375,4292.1719206498,4236.60053000288,4261.664078800779,194233
2023-05-19,4208.392578125,4271.238455601662,4190.416052816425,4256.078497045284,398571
2023-05-22,4245.98779296875,4286.727406204277,4219.42268486141,4219.42268486141,368479
2023-05-23,4222.37939453125,4274.2894789590655,4215.808474560589,4256.970686332712,239196
2023-05-24,4240.68359375,4273.162800253721,4216.6994637106245,4229.371950712147,395343
2023-05-25,4359.33544921875,4366.28175770451,4228.480381194473,4229.465835714063,1016606
2023-05-26,4333.00537109375,4378.625960472895,4323.007819597368,4329.625949345042,484972
2023-05-29,4335.39892578125,4377.311914556249,4325.636508232408,4374.308340576365,301343
2023-05-30,4310.4296875,4351.216511208217,4305.548707506869,4332.2077777801815,229574
2023-05-31,4287.1962890625,4345.208395593672,4273.585098818995,4308.457815255437,719613
2023-06-01,4358.96044921875,4383.554187768282,4287.290398185381,4305.829778636234,698733
2023-06-02,4382.89697265625,4418.473714163628,4362.386226502426,4387.68444821049,606833
2023-06-05,4421.3369140625,4427.814330025576,4382.803347687199,4400.638700783377,234925
2023-06-06,4436.54443359375,4454.098360580428,4421.3372637790335,4428.330783491883,353149
2023-06-07,4487.703125,4494.414757921925,4446.588128321554,4446.588128321554,239491
2023-06-08,4506.3837890625,4533.840847692359,4483.995634201799,4506.57171297473,295499
2023-06-09,4452.642578125,4526.236782805938,4444.757566614713,4506.383311110996,208197
2023-06-12,4477.283203125,4496.385894576947,4443.20847874655,4458.791035103578,137778
2023-06-13,4464.423828125,4501.079989642908,4455.5061513989085,4477.612419311089,247078
2023-06-14,4440.251953125,4476.157333488253,4423.167379650991,4459.870749025842,191238
2023-06-15,4432.13232421875,4472.590509327716,4414.250217999792,4451.235019171523,178304
2023-06-16,4357.41162109375,4425.749001205885,4336.806911410189,4407.209621011004,658995
2023-06-19,4315.54541015625,4369.661534917416,4305.501106853751,4360.274506915446,193043
2023-06-20,4376.232421875,4383.74204422056,4288.979813907137,4303.952306798987,453523
2023-06-21,4365.10888671875,4415.329488278659,4352.765036136373,4391.251852285088,274821
2023-06-22,4329.39111328125,4382.803208929127,4319.534734250675,4378.156446902902,180102
2023-06-23,4339.24755859375,4369.66143696819,4323.101687451891,4330.329882191774,348409
2023-06-26,4324.51025390625,4372.431311469485,4318.549398882292,4341.266192169291,298624
2023-06-27,4334.9765625,4391.8620475284215,4327.420187811794,4349.855094512244,444793
2023-06-28,4427.2041015625,4449.451542615981,4336.901161720854,4346.194228335864,769406
2023-06-30,4538.69921875,4580.7338076874,4483.991805413115,4484.959225435858,587936
2023-07-03,4460.43505859375,4535.265092250438,4438.571271481583,4532.556505120673,457367
2023-07-04,4474.7041015625,4522.49455218329,4461.69258677714,4461.69258677714,286373
2023-07-05,4730.73193359375,4740.357951444369,4482.056814090156,4496.519931891228,891033
2023-07-06,4757.4814453125,4777.119882042804,4674.5733637162475,4730.68372280059,888595
2023-07-07,4676.50830078125,4753.079499646904,4663.496312774209,4716.6562309596575,405959
2023-07-10,4738.37451171875,4789.695948719779,4687.197620855843,4691.019118429046,659388
2023-07-11,4757.4326171875,4793.033954730489,4745.1948493086375,4777.603417596474,400593
2023-07-12,4719.51025390625,4786.310415475185,4708.433106036933,4768.413145604282,295827
2023-07-13,4707.90087890625,4827.425421587741,4691.841613690494,4760.673446820295,501038
2023-07-14,4701.2744140625,4746.452645480373,4691.987087414862,4735.472806174249,419873
2023-07-17,4675.685546875,4746.54905684859,4664.028325651076,4724.830762812915,250127
2023-07-18,4702.24169921875,4832.35968791111,4672.638553041642,4687.681744941244,270028
2023-07-19,4666.4951171875,4749.209522377991,4661.222961917883,4721.976745436076,247325
2023-07-20,4710.07763671875,4729.716072492719,4626.2503212704305,4670.703456329484,450566
2023-07-21,4704.27294921875,4720.4285781680155,4677.717083943765,4684.3440047510285,367833
2023-07-24,4723.669921875,4758.7388962578725,4693.099355938358,4703.595957228253,288534
2023-07-25,4690.97119140625,4749.935154386245,4621.703827981476,4725.362781942774,743269
2023-07-26,4711.7705078125,4743.7435470123255,4683.231620357241,4730.683378176868,387130
2023-07-27,4692.95458984375,4748.09753183944,4667.124285959701,4739.390751524332,321326
2023-07-28,4733.10205078125,4740.35770032256,4672.299613150469,4696.8238030747,255158
2023-07-31,4770.73486328125,4777.506803238319,4707.513872207431,4736.004579976033,325463
2023-08-01,4763.52783203125,4816.445421875145,4739.535532939429,4780.7477188437415,391794
2023-08-02,4674.67041015625,4777.071914559237,4664.173808381469,4753.321469456217,249850
2023-08-03,4669.05859375,4753.562818649311,4649.420158227291,4679.4101758937595,418377
2023-08-04,4558.4833984375,4705.724922964448,4546.874357524671,4672.638967413652,451353
2023-08-07,4517.9482421875,4589.004957853523,4513.014305706652,4589.004957853523,436583
2023-08-08,4498.64794921875,4544.939089980194,4486.023307362466,4517.948166870628,487053
2023-08-09,4514.513671875,4537.00618717306,4465.707615652073,4498.986769618464,282034
2023-08-10,4485.53955078125,4555.000116040468,4477.993391552057,4517.85128347324,330123
2023-08-11,4449.21240234375,4498.502636307984,4432.331208132378,4485.539303830645,274197
2023-08-14,4466.2880859375,4482.734225874858,4393.054203267223,4426.913903138255,154258
2023-08-16,4450.71240234375,4464.643155418011,4411.193202148922,4427.881196608501,188763
2023-08-17,4506.09765625,4516.352403440959,4426.9624112981455,4426.9624112981455,311184
2023-08-18,4465.17529296875,4498.067573712153,4445.585037525989,4498.067573712153,243546
2023-08-21,4460.62890625,4479.106723987118,4443.166690633055,4453.034564256502,118491
2023-08-22,4477.6064453125,4485.490823506477,4451.727961400283,4467.4971901612635,96290
2023-08-23,4508.90283203125,4514.3204785864,4468.513046430799,4488.828866732822,263771
2023-08-24,4479.2998046875,4573.091366534747,4425.414791871838,4536.232568528266,433867
2023-08-25,4434.701171875,4495.503609371124,4420.867255729413,4473.349787295324,293384
2023-08-28,4450.5673828125,4469.480254246517,4436.587975319161,4437.071685303387,283469
