date,close,high,low,open,volume
2023-03-23,925.4544677734375,931.5506623577054,909.2093777515593,914.5328779371789,1133700
2023-03-24,921.015380859375,928.15387617719,917.8518778238167,923.5398361131581,525980
2023-03-27,917.99755859375,929.5047481416547,914.3068250946417,923.2943644431165,717080
2023-03-28,920.6703491210938,924.263917843424,916.0052942344939,918.435016500368,709620
2023-03-29,925.8675537109375,929.3687621238533,917.2784618155789,919.8928453335709,972120
2023-03-31,957.5291748046875,959.8325466487702,930.8265522032501,930.8265522032501,2968880
2023-04-03,957.5753784179688,961.6840171767991,942.0542826357441,961.3924623856458,1274800
2023-04-05,963.241455078125,965.7173870254512,952.4996629712322,955.3181643858624,943020
2023-04-06,957.7113037109375,964.1136446099281,952.6939517428245,961.9268949119721,819560
2023-04-10,949.0592041015625,958.1099191478087,947.640225005104,957.3105310660447,448280
2023-04-11,956.076171875,957.0675174556344,946.3767404137335,954.7836024517101,882520
2023-04-12,944.6905517578125,957.0675419864526,941.0289439176818,957.0675419864526,1137640
2023-04-13,945.907958984375,956.3387406822332,943.5219549680595,947.5917400052615,923020
2023-04-17,983.7652587890625,991.8125265764812,947.6960473383195,951.9650855283326,3887020
2023-04-18,1004.0218505859375,1005.9048850930561,981.607665646364,981.607665646364,2797200
2023-04-19,1001.9542846679688,1004.1385431577801,990.7435136074769,1003.9539412236023,1797480
2023-04-20,994.8788452148438,1006.9108331493208,990.3546744358488,1000.8024789011926,1044260
2023-04-21,1001.0202026367188,1005.4228739434483,995.6748767774908,999.8603059143934,886100
2023-04-24,1010.4190673828125,1011.3811569781061,996.3416064523956,1001.2204940654605,1157360
2023-04-25,1009.2420654296875,1022.1059740563088,991.7972322469501,1011.3811020391804,3369280
2023-04-26,1026.8748779296875,1029.9393994579007,999.8309702593439,1006.0088987654068,2497880
2023-04-27,1032.7867431640625,1035.3581179751702,1025.59533537601,1028.8284522905046,2044640
2023-04-28,1062.7779541015625,1067.0854778218813,1031.9418455934497,1034.479000553581,3330320
2023-05-02,1062.0185546875,1079.2655805360419,1058.43632416836,1064.6631383952129,1783400
2023-05-03,1068.3602294921875,1071.786145924775,1053.8407728513253,1061.977100817195,1140260
2023-05-04,1059.47412109375,1074.1841111528533,1056.7440474758846,1068.5139949412278,1270680
2023-05-05,1075.400146484375,1078.2742532813209,1062.2163366211967,1064.6607283840754,1101520
2023-05-08,1073.612548828125,1089.0819314999135,1062.7290981001502,1076.8724928059685,1513120
2023-05-09,1073.031494140625,1081.5097815114696,1066.9438245962313,1074.430691157752,865740
2023-05-10,1076.87255859375,1080.7746906694101,1072.9410952475605,1073.0314737152892,1208820
2023-05-11,1075.3975830078125,1085.9074773735463,1072.0033828976618,1079.2654950313236,1378740
2023-05-12,1064.37744140625,1077.8199865876395,1061.7328577362493,1075.3585445099347,1339220
2023-05-15,1064.0086669921875,1075.4025542109462,1062.2822951520827,1065.6398910507878,1451400
2023-05-16,1063.7060546875,1073.8935454931188,1060.756234663027,1068.3260880871878,1545140
2023-05-17,1061.36669921875,1069.122078859695,1054.895695530887,1063.7060471763687,1335760
2023-05-18,1058.7830810546875,1071.9888304164297,1057.3472795286834,1067.105054423644,1023500
2023-05-19,1059.2982177734375,1064.6630978182263,1050.3097335628265,1064.6630978182263,1464400
2023-05-22,1049.7579345703125,1059.7305675821876,1046.2074196751953,1059.7305675821876,1021900
2023-05-23,1045.308837890625,1055.384010710217,1043.277110732686,1047.5699689835333,1109180
2023-05-24,1044.1805419921875,1049.914089708324,1039.0232464047363,1045.3087227580927,887280
2023-05-25,1048.7860107421875,1056.4584037849872,1040.7741618811363,1050.0118432913425,1630040
2023-05-26,1054.0042724609375,1056.3117849099044,1043.6628537022823,1049.2768110291652,1263180
2023-05-29,1061.2177734375,1067.1051324420532,1052.5563436186012,1060.9980273483209,1068740
2023-05-30,1053.6478271484375,1061.1761868048725,1050.5514702919604,1058.8026192457871,939620
2023-05-31,1058.4656982421875,1067.512845703344,1050.744419672779,1053.918874112878,8495880
2023-06-01,1068.2918701171875,1070.765593486376,1053.567331930724,1063.9795766244688,1197320
2023-06-02,1076.69921875,1079.0702824048922,1065.6398987134985,1074.4306953115017,1164960
2023-06-05,1066.3309326171875,1080.764898334176,1064.174726565278,1074.384273988794,1630180
2023-06-06,1060.0430908203125,1071.0877450148844,1055.7526174740517,1068.2844624769805,1570460
2023-06-07,1092.390625,1095.1744723659192,1062.216261596687,1062.216261596687,3136240
2023-06-08,1081.70263671875,1102.636938290498,1078.701665986816,1096.8961166924541,1458580
2023-06-09,1078.0177001953125,1088.1051525308626,1076.4280885439816,1079.358353766237,1418300
2023-06-12,1088.56201171875,1091.4751079469481,1075.8544163598397,1076.8726646321388,1247040
2023-06-13,1098.4881591796875,1107.5426985804067,1088.7084458438198,1091.4750046759884,1666940
2023-06-14,1110.0211181640625,1111.1078059002623,1098.8494817661071,1100.0704256347362,1447540
2023-06-15,1121.61767578125,1123.2683346238678,1105.3204601467255,1110.021093938358,1475140
2023-06-16,1121.7325439453125,1131.8272709721198,1117.2760982617406,1121.6178419775365,1470820
2023-06-19,1113.2493896484375,1130.5940664604498,1111.6083885625449,1124.4893468791297,866620
2023-06-20,1121.0975341796875,1123.2660211974842,1109.593833956229,1113.2493925133647,1377540
2023-06-21,1117.9742431640625,1126.6722754298416,1111.7914266713692,1121.1243735610726,1292840
2023-06-22,1100.4564208984375,1117.9329710182046,1098.493133337311,1113.5009679856148,998060
2023-06-23,1100.6492919921875,1104.7077384342701,1096.5859570048283,1100.4563733029786,870300
2023-06-26,1105.2376708984375,1108.6172059002483,1099.0938422372285,1099.8287933292113,700300
2023-06-27,1105.5526123046875,1116.9195530670224,1099.0986595016536,1105.2644266015536,882660
2023-06-28,1110.7708740234375,1113.500947779746,1102.7566403888886,1107.1520388669667,1112480
2023-06-30,1118.106201171875,1120.6433559752834,1104.9542268972398,1111.0589463828599,737240
2023-07-03,1105.3228759765625,1120.8264785510532,1102.9030462918079,1120.8264785510532,1105380
2023-07-04,1104.907958984375,1115.6986479491165,1100.0950071854916,1110.9614089875786,602980
2023-07-05,1118.3798828125,1120.5335852344008,1102.7566872168584,1103.0497614876347,777760
2023-07-06,1128.12548828125,1142.4349765646095,1118.6289519618117,1120.0940848392993,1807340
2023-07-07,1118.6876220703125,1135.3241773907612,1115.9428825628465,1130.8407849077144,1129280
2023-07-10,1102.7689208984375,1125.339337437897,1101.2916261662235,1116.8708258676393,727760
2023-07-11,1116.05517578125,1121.3077390702006,1101.3061955465348,1104.2217956215516,1370520
2023-07-12,1126.2010498046875,1128.1521754090563,1114.331066469822,1120.2892489176293,961800
2023-07-13,1114.5142822265625,1129.204718517267,1112.3703570354778,1126.201124752259,864320
2023-07-14,1130.0103759765625,1133.0359082633374,1113.5008063967282,1114.5141659594985,909140
2023-07-17,1126.7236328125,1142.5763492965807,1121.0706864149945,1133.035936607618,835900
2023-07-18,1122.1527099609375,1132.547785456021,1114.502254894393,1132.547785456021,651680
2023-07-19,1120.3846435546875,1124.489471764986,1113.5741842482118,1120.8266396093998,557620
2023-07-20,1123.6566162109375,1127.3951607613194,1111.1078405850567,1120.3870142762994,755840
2023-07-21,1122.4161376953125,1134.5963649382852,1119.0097756757884,1123.9985954895344,736860
2023-07-24,1114.4825439453125,1125.6420195200722,1108.9955692837439,1122.298970006587,841620
2023-07-25,1112.1773681640625,1130.105689563862,1107.408294453938,1130.105689563862,1251520
2023-07-26,1113.4959716796875,1118.3846359274423,1108.7147361894563,1113.056479559563,689240
2023-07-27,1090.317626953125,1118.3846725273481,1078.1447917691203,1116.3920538209227,3587480
2023-07-28,1097.9168701171875,1105.2889158720068,1083.5780509477229,1090.3176858486781,1344220
2023-07-31,1101.4527587890625,1106.3706356771693,1095.4163588178124,1106.1753323182322,972180
2023-08-01,1103.4256591796875,1108.1286778260674,1095.1866725539692,1104.138671336298,1300380
2023-08-02,1117.520263671875,1120.2478334846758,1099.3673064739696,1108.1287719829845,2093220
2023-08-03,1097.6678466796875,1117.7962546641734,1094.0611730639005,1117.7962546641734,899420
2023-08-04,1096.6273193359375,1108.5608530980667,1094.5517147985283,1098.651653770458,820200
2023-08-07,1096.8619384765625,1101.3696544682446,1081.7564517477308,1096.6275267525068,824920
2023-08-08,1085.6268310546875,1098.7983609915636,1079.3145265494584,1097.3844982609198,1160640
2023-08-09,1085.096923828125,1091.8291660838333,1082.3717386803917,1088.1052869040116,745700
2023-08-10,1073.93017578125,1086.3740274341737,1069.3027503491173,1082.3912938163037,1411580
2023-08-11,1066.73388671875,1074.9191000829696,1062.2212824536389,1073.9301831338103,767260
2023-08-14,1069.5224609375,1076.3841898052794,1060.231125141038,1066.8242224923863,815760
2023-08-16,1071.88623046875,1080.779566978796,1063.9475910337821,1080.779566978796,578600
2023-08-17,1058.18994140625,1075.8130307106646,1055.0129826330358,1069.5471069932714,1399840
2023-08-18,1066.1282958984375,1068.570183887211,1047.5699471837602,1058.1897752786851,1313340
2023-08-21,1076.1085205078125,1083.0312980877857,1061.5059560842426,1066.1284938289934,741920
2023-08-22,1075.697998046875,1078.945780483097,1069.842355650851,1076.1082781365642,810440
2023-08-23,1083.375244140625,1087.6070547977145,1071.9887498847154,1079.3144133235633,1227560
2023-08-24,1086.39111328125,1088.593701088656,1081.429239649182,1088.2518606055817,920400
2023-08-25,1083.6368408203125,1088.1273876485227,1079.8640756262646,1083.710049777684,839280
2023-08-28,1076.11328125,1084.9089671432098,1074.4307869280071,1083.7831708574572,830140
2023-08-29,1077.5074462890625,1083.2116628672225,1071.9887559539914,1077.8712255741939,1048560
2023-08-30,1084.125,1088.1052295153834,1074.926308283437,1077.5074600583162,1296640
2023-08-31,1073.7664794921875,1088.5447905130677,1058.3166492678733,1086.6401655564537,4661300
2023-09-01,1070.306396484375,1079.7882671856637,1067.5934921527717,1076.8726670616934,716980
2023-09-04,1061.6448974609375,1073.4514483378084,1056.4827134775994,1073.2194213131734,1481820
2023-09-05,1072.2061767578125,1074.3623829055605,1062.443513454812,1062.443513454812,1246260
2023-09-06,1074.630859375,1079.314443253926,1063.422617849309,1072.206141018496,1125840
2023-09-07,1069.3660888671875,1078.586719109613,1065.7546465409773,1073.370880205718,823180
2023-09-08,1068.7288818359375,1073.4222430087395,1066.1282949767046,1071.7935227988858,609540
2023-09-11,1080.6356201171875,1084.195911979336,1068.2479267810213,1070.0353459138232,939540
2023-09-12,1089.94873046875,1093.7214946370066,1075.2656884276614,1080.989458856116,987580
2023-09-13,1083.211669921875,1102.22667916868,1081.7586989623596,1087.887861294042,1016500
2023-09-14,1097.760498046875,1099.3379481139402,1082.0981954497763,1085.6633756807148,1621120
2023-09-15,1104.822509765625,1108.6660989224806,1090.0075935254704,1098.8496609250888,2322820
2023-09-18,1114.4483642578125,1115.4544507408184,1096.5370917330888,1104.7101434219487,1150640
2023-09-20,1107.652587890625,1114.7976143689725,1101.5869760924359,1101.5869760924359,1149000
2023-09-21,1100.48583984375,1107.14976250457,1091.5240621548514,1106.6613848481247,923660
2023-09-22,1100.4366455078125,1105.6843191851235,1092.9888883375056,1099.826173608607,766020
2023-09-25,1105.6258544921875,1109.0421130831887,1096.4566126184905,1102.2682584457477,688540
2023-09-26,1123.53955078125,1126.3404489157972,1103.5405109359585,1108.6172058732857,1320020
2023-09-27,1117.066162109375,1123.539550277296,1110.6415401641145,1123.5127228931917,833060
2023-09-28,1100.7274169921875,1118.7729457841333,1096.3003025859227,1118.384723739781,1039620
